,Category(sale/Rent/Sold),House Features,Address,State,Zip code,Price,Open Time/Posting Time,Category Applied
102, House for sale,"3 bds3 ba2,068 sqft ","6039 Running Valley Rd, Stroudsburg, PA 18360", Stroudsburg, PA 18360,"$379,900",Not Available,For Sale
103, House for sale,"3 bds3 ba2,201 sqft ","794 Village Point Road SW, Shallotte, NC 28470", Shallotte, NC 28470,"$300,000",Not Available,For Sale
104, House for sale,"2 bds2 ba1,480 sqft ","5248 Big Oak Rd, Saint Augustine, FL 32095", Saint Augustine, FL 32095,"$595,000",Not Available,For Sale
105, House for sale,"3 bds2 ba1,902 sqft ","1136 Valley View Dr, Hurst, TX 76053", Hurst, TX 76053,"$290,000",Image 1 of 38,For Sale
106, House for sale,"3 bds3 ba1,836 sqft ","157 Barnegat Boulevard, Barnegat, NJ 08005", Barnegat, NJ 08005,"$370,000",Not Available,For Sale
107, House for sale,"3 bds2 ba1,272 sqft ","1024 Autumn Dr, Murrells Inlet, SC 29576", Murrells Inlet, SC 29576,"$264,900",Not Available,For Sale
108, House for sale,"3 bds2 ba2,790 sqft ","4759 W 48th St, Fremont, MI 49412", Fremont, MI 49412,"$269,900",Not Available,For Sale
109, Coming soon,"4 bds3 ba1,842 sqft ","1128 E 14 Mile Rd, Royal Oak, MI 48073", Royal Oak, MI 48073,"$395,000",Not Available,For Sale
110, House for sale,"3 bds2 ba1,302 sqft ","3314 Scarlet Ohara, San Antonio, TX 78223", San Antonio, TX 78223,"$190,000",Not Available,For Sale
111, House for sale,"2 bds2 ba1,106 sqft ","3757 York Blvd, Los Angeles, CA 90065", Los Angeles, CA 90065,"$649,000",Not Available,For Sale
112, Home for sale,"3 bds2 ba1,242 sqft ","2675 HANDS DR, GREEN COVE SPRINGS, FL 32043", GREEN COVE SPRINGS, FL 32043,"$235,000",Image 1 of 60,For Sale
113, Active,"3 bds2 ba1,040 sqft ","390 SE 34th Ct, Hillsboro, OR 97123", Hillsboro, OR 97123,"$375,000",Not Available,For Sale
114, House for sale,"3 bds2 ba2,176 sqft ","10555 SW 47th Ave, Ocala, FL 34476", Ocala, FL 34476,"$395,000",Not Available,For Sale
115, House for sale,"3 bds2 ba1,075 sqft ","41429 Bernard Dr, Sterling Heights, MI 48313", Sterling Heights, MI 48313,"$269,500",Not Available,For Sale
116, Townhouse for sale,"2 bds3 ba1,238 sqft ","5470 STANFORD RD, JACKSONVILLE, FL 32207", JACKSONVILLE, FL 32207,"$247,000",Image 1 of 47,For Sale
117, Coming soon,"3 bds2 ba1,238 sqft ","2668 Glendrive Pl, Maryland Heights, MO 63043", Maryland Heights, MO 63043,"$249,900",Not Available,For Sale
118, House for sale,"3 bds2 ba1,461 sqft ","2104 S Beverly, Mesa, AZ 85210", Mesa, AZ 85210,"$460,000",Not Available,For Sale
119, Home for sale,"3 bds2 ba1,836 sqft ","3860 National Ave, Pahrump, NV 89048", Pahrump, NV 89048,"$289,999",Not Available,For Sale
120, House for sale,"2 bds3 ba1,100 sqft ","7058 Lakeview Ln, Doraville, GA 30360", Doraville, GA 30360,"$280,000",Not Available,For Sale
121, House for sale,"3 bds1 ba1,344 sqft ","835 Clifford Ave SE, Grand Rapids, MI 49546", Grand Rapids, MI 49546,"$319,900",Not Available,For Sale
122, House for sale,"2 bds2 ba1,302 sqft ","197 Timber Hill Rd, Henryville, PA 18332", Henryville, PA 18332,"$210,000",Not Available,For Sale
123, House for sale,"3 bds2 ba1,189 sqft ","13118 Force St, Houston, TX 77015", Houston, TX 77015,"$204,990",Not Available,For Sale
124, House for sale,"4 bds2 ba1,596 sqft ","5912 Falcon Ct N, Joshua, TX 76058", Joshua, TX 76058,"$260,000",Image 1 of 30,For Sale
125, Active,"3 bds2 ba1,709 sqft ","10101 Brantley Bnd, Austin, TX 78748", Austin, TX 78748,"$349,000",Not Available,For Sale
126, House for sale,"4 bds2 ba1,698 sqft ","49 N Wright St, Easton, PA 18042", Easton, PA 18042,"$225,000",Not Available,For Sale
127, House for sale,3 bds2 ba,"5037 River Rock Way, Woodstock, GA 30188", Woodstock, GA 30188,"$352,000",Not Available,For Sale
128, House for sale,"3 bds2 ba1,943 sqft ","1598 Old Highway 70, Crossville, TN 38572", Crossville, TN 38572,"$250,000",Not Available,For Sale
129, House for sale,2 bds2 ba840 sqft ,"120 Swallow Rd, Saint Augustine, FL 32086", Saint Augustine, FL 32086,"$259,999",Not Available,For Sale
130, House for sale,"3 bds2 ba1,546 sqft ","7741 Pineapple Dr, Orlando, FL 32835", Orlando, FL 32835,"$389,900",Not Available,For Sale
131, House for sale,"3 bds2 ba2,025 sqft ","933 ROCK BAY DR, JACKSONVILLE, FL 32218", JACKSONVILLE, FL 32218,"$330,000",Image 1 of 37,For Sale
132, House for sale,"4 bds3 ba2,121 sqft ","142 Padgett Rd, Senoia, GA 30276", Senoia, GA 30276,"$350,000",Not Available,For Sale
133, House for sale,"3 bds2 ba1,093 sqft ","2004 Ranch Mill Cir, Raleigh, NC 27610", Raleigh, NC 27610,"$299,977",Not Available,For Sale
134, House for sale,"4 bds2 ba2,048 sqft ","596 Long Mountain Rd, Effort, PA 18330", Effort, PA 18330,"$325,000",Not Available,For Sale
135, House for sale,"3 bds2 ba1,287 sqft ","1822 Crandon Dr, Charlotte, NC 28216", Charlotte, NC 28216,"$285,000",Not Available,For Sale
136, House for sale,"4 bds2 ba2,770 sqft ","1830 Starnes St, Augusta, GA 30904", Augusta, GA 30904,"$239,900",Not Available,For Sale
137, House for sale,"4 bds2 ba1,230 sqft ","1066 Coleman St, Melbourne, FL 32935", Melbourne, FL 32935,"$285,000",Not Available,For Sale
138, House for sale,"5 bds2 ba1,970 sqft ","823 Florence Ave, Pittsburgh, PA 15202", Pittsburgh, PA 15202,"$260,000",Not Available,For Sale
139, House for sale,"3 bds3 ba1,144 sqft ","130 Estates Rd, Greentown, PA 18426", Greentown, PA 18426,"$234,900",Not Available,For Sale
140, House for sale,"3 bds3 ba2,001 sqft ","8322 Lake Crystal Dr, Houston, TX 77095", Houston, TX 77095,"$280,000",Not Available,For Sale
141, House for sale,"3 bds2 ba1,210 sqft ","6223 Megan St NE, Albany, OR 97321", Albany, OR 97321,"$415,000",Not Available,For Sale
142, House for sale,"3 bds3 ba2,068 sqft ","6039 Running Valley Rd, Stroudsburg, PA 18360", Stroudsburg, PA 18360,"$379,900",Not Available,For Sale
143, House for sale,"3 bds3 ba2,201 sqft ","794 Village Point Road SW, Shallotte, NC 28470", Shallotte, NC 28470,"$300,000",Not Available,For Sale
144, House for sale,"2 bds2 ba1,480 sqft ","5248 Big Oak Rd, Saint Augustine, FL 32095", Saint Augustine, FL 32095,"$595,000",Not Available,For Sale
145, House for sale,"3 bds2 ba1,902 sqft ","1136 Valley View Dr, Hurst, TX 76053", Hurst, TX 76053,"$290,000",Image 1 of 38,For Sale
146, House for sale,"3 bds3 ba1,836 sqft ","157 Barnegat Boulevard, Barnegat, NJ 08005", Barnegat, NJ 08005,"$370,000",Not Available,For Sale
147, House for sale,"3 bds2 ba1,272 sqft ","1024 Autumn Dr, Murrells Inlet, SC 29576", Murrells Inlet, SC 29576,"$264,900",Not Available,For Sale
148, House for sale,"3 bds2 ba2,790 sqft ","4759 W 48th St, Fremont, MI 49412", Fremont, MI 49412,"$269,900",Not Available,For Sale
149, Coming soon,"4 bds3 ba1,842 sqft ","1128 E 14 Mile Rd, Royal Oak, MI 48073", Royal Oak, MI 48073,"$395,000",Not Available,For Sale
150, House for sale,"3 bds2 ba1,302 sqft ","3314 Scarlet Ohara, San Antonio, TX 78223", San Antonio, TX 78223,"$190,000",Not Available,For Sale
151, House for sale,"2 bds2 ba1,106 sqft ","3757 York Blvd, Los Angeles, CA 90065", Los Angeles, CA 90065,"$649,000",Not Available,For Sale
152, Home for sale,"3 bds2 ba1,242 sqft ","2675 HANDS DR, GREEN COVE SPRINGS, FL 32043", GREEN COVE SPRINGS, FL 32043,"$235,000",Image 1 of 60,For Sale
153, Active,"3 bds2 ba1,040 sqft ","390 SE 34th Ct, Hillsboro, OR 97123", Hillsboro, OR 97123,"$375,000",Not Available,For Sale
154, House for sale,"3 bds2 ba2,176 sqft ","10555 SW 47th Ave, Ocala, FL 34476", Ocala, FL 34476,"$395,000",Not Available,For Sale
155, House for sale,"3 bds2 ba1,075 sqft ","41429 Bernard Dr, Sterling Heights, MI 48313", Sterling Heights, MI 48313,"$269,500",Not Available,For Sale
156, Townhouse for sale,"2 bds3 ba1,238 sqft ","5470 STANFORD RD, JACKSONVILLE, FL 32207", JACKSONVILLE, FL 32207,"$247,000",Image 1 of 47,For Sale
157, Coming soon,"3 bds2 ba1,238 sqft ","2668 Glendrive Pl, Maryland Heights, MO 63043", Maryland Heights, MO 63043,"$249,900",Not Available,For Sale
158, House for sale,"3 bds2 ba1,461 sqft ","2104 S Beverly, Mesa, AZ 85210", Mesa, AZ 85210,"$460,000",Not Available,For Sale
159, Home for sale,"3 bds2 ba1,836 sqft ","3860 National Ave, Pahrump, NV 89048", Pahrump, NV 89048,"$289,999",Not Available,For Sale
160, House for sale,"2 bds3 ba1,100 sqft ","7058 Lakeview Ln, Doraville, GA 30360", Doraville, GA 30360,"$280,000",Not Available,For Sale
161, House for sale,"3 bds1 ba1,344 sqft ","835 Clifford Ave SE, Grand Rapids, MI 49546", Grand Rapids, MI 49546,"$319,900",Not Available,For Sale
162, House for sale,"2 bds2 ba1,302 sqft ","197 Timber Hill Rd, Henryville, PA 18332", Henryville, PA 18332,"$210,000",Not Available,For Sale
163, House for sale,"3 bds2 ba1,189 sqft ","13118 Force St, Houston, TX 77015", Houston, TX 77015,"$204,990",Not Available,For Sale
164, House for sale,"4 bds2 ba1,596 sqft ","5912 Falcon Ct N, Joshua, TX 76058", Joshua, TX 76058,"$260,000",Image 1 of 30,For Sale
165, Active,"3 bds2 ba1,709 sqft ","10101 Brantley Bnd, Austin, TX 78748", Austin, TX 78748,"$349,000",Not Available,For Sale
166, House for sale,"4 bds2 ba1,698 sqft ","49 N Wright St, Easton, PA 18042", Easton, PA 18042,"$225,000",Not Available,For Sale
167, House for sale,3 bds2 ba,"5037 River Rock Way, Woodstock, GA 30188", Woodstock, GA 30188,"$352,000",Not Available,For Sale
168, House for sale,"3 bds2 ba1,943 sqft ","1598 Old Highway 70, Crossville, TN 38572", Crossville, TN 38572,"$250,000",Not Available,For Sale
169, House for sale,2 bds2 ba840 sqft ,"120 Swallow Rd, Saint Augustine, FL 32086", Saint Augustine, FL 32086,"$259,999",Not Available,For Sale
170, House for sale,"3 bds2 ba1,546 sqft ","7741 Pineapple Dr, Orlando, FL 32835", Orlando, FL 32835,"$389,900",Not Available,For Sale
171, House for sale,"3 bds2 ba2,025 sqft ","933 ROCK BAY DR, JACKSONVILLE, FL 32218", JACKSONVILLE, FL 32218,"$330,000",Image 1 of 37,For Sale
172, House for sale,"4 bds3 ba2,121 sqft ","142 Padgett Rd, Senoia, GA 30276", Senoia, GA 30276,"$350,000",Not Available,For Sale
173, House for sale,"3 bds2 ba1,093 sqft ","2004 Ranch Mill Cir, Raleigh, NC 27610", Raleigh, NC 27610,"$299,977",Not Available,For Sale
174, House for sale,"4 bds2 ba2,048 sqft ","596 Long Mountain Rd, Effort, PA 18330", Effort, PA 18330,"$325,000",Not Available,For Sale
175, House for sale,"3 bds2 ba1,287 sqft ","1822 Crandon Dr, Charlotte, NC 28216", Charlotte, NC 28216,"$285,000",Not Available,For Sale
176, House for sale,"4 bds2 ba2,770 sqft ","1830 Starnes St, Augusta, GA 30904", Augusta, GA 30904,"$239,900",Not Available,For Sale
177, House for sale,"4 bds2 ba1,230 sqft ","1066 Coleman St, Melbourne, FL 32935", Melbourne, FL 32935,"$285,000",Not Available,For Sale
178, House for sale,"5 bds2 ba1,970 sqft ","823 Florence Ave, Pittsburgh, PA 15202", Pittsburgh, PA 15202,"$260,000",Not Available,For Sale
